path,usage_count,sample_files
pages.marketingIntel.marketingIntel.creativeStudio.selectFirstDesc,0,
pages.marketingIntel.marketingIntel.creativeStudio.selectStep,0,
pages.marketingIntel.marketingIntel.creativeStudio.selectStepHint,0,
pages.marketingIntel.marketingIntel.creativeStudio.productInfo,0,
pages.marketingIntel.marketingIntel.creativeStudio.categoryOptimized,0,
pages.marketingIntel.marketingIntel.creativeStudio.channelStep,0,
pages.marketingIntel.marketingIntel.creativeStudio.adTipTitle,0,
pages.marketingIntel.marketingIntel.creativeStudio.headlineHint,0,
pages.marketingIntel.marketingIntel.creativeStudio.bodyHint,0,
pages.marketingIntel.marketingIntel.creativeStudio.ctaHint,0,
pages.marketingIntel.marketingIntel.creativeStudio.customCopyToggle,0,
pages.marketingIntel.marketingIntel.creativeStudio.customHeadline,0,
pages.marketingIntel.marketingIntel.creativeStudio.customBody,0,
pages.marketingIntel.marketingIntel.creativeStudio.selectedLabel,0,
pages.marketingIntel.marketingIntel.creativeStudio.adTag,0,
pages.marketingIntel.marketingIntel.creativeStudio.adPreviewLabel,0,
pages.marketingIntel.marketingIntel.creativeStudio.adFormatCount,0,
pages.marketingIntel.marketingIntel.creativeStudio.adSpec,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_overseas_ship,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_overseas_ship_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_overseas_buy,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_overseas_buy_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_beauty,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_beauty_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_food,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_food_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_fashion,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_fashion_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_general,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_general_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_electronics,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_electronics_desc,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_sports,0,
pages.marketingIntel.marketingIntel.creativeStudio.cat_sports_desc,0,
pages.marketingIntel.marketingIntel.approvals.heroDesc,0,
pages.marketingIntel.marketingIntel.approvals.pageTitle,0,
pages.marketingIntel.marketingIntel.approvals.pageSub,0,
pages.marketingIntel.marketingIntel.approvals.statusPending,0,
pages.marketingIntel.marketingIntel.approvals.statusApproved,0,
pages.marketingIntel.marketingIntel.approvals.statusExecuted,0,
pages.marketingIntel.marketingIntel.approvals.statusRejected,0,
pages.marketingIntel.marketingIntel.approvals.filterAll,0,
pages.marketingIntel.marketingIntel.approvals.requestList,0,
pages.marketingIntel.marketingIntel.approvals.noRequests,0,
pages.marketingIntel.marketingIntel.approvals.noRequestsDesc,0,
pages.marketingIntel.marketingIntel.approvals.btnApprove,0,
pages.marketingIntel.marketingIntel.approvals.btnReject,0,
pages.marketingIntel.marketingIntel.approvals.btnExecute,0,
pages.marketingIntel.marketingIntel.approvals.executeDone,0,
pages.marketingIntel.marketingIntel.approvals.demoGuard,0,
pages.marketingIntel.marketingIntel.approvals.tabQueue,0,
pages.marketingIntel.marketingIntel.approvals.tabQueueDesc,0,
pages.marketingIntel.marketingIntel.approvals.tabAudit,0,
pages.marketingIntel.marketingIntel.approvals.tabAuditDesc,0,
pages.marketingIntel.marketingIntel.approvals.tabSettings,0,
pages.marketingIntel.marketingIntel.approvals.tabSettingsDesc,0,
pages.marketingIntel.marketingIntel.approvals.totalAudit,0,
pages.marketingIntel.marketingIntel.approvals.auditApproved,0,
pages.marketingIntel.marketingIntel.approvals.auditSecurity,0,
pages.marketingIntel.marketingIntel.approvals.noAudit,0,
pages.marketingIntel.marketingIntel.approvals.noAuditDesc,0,
pages.marketingIntel.marketingIntel.approvals.settingsTitle,0,
pages.marketingIntel.marketingIntel.approvals.cfgAutoApprove,0,
pages.marketingIntel.marketingIntel.approvals.cfgAutoApproveDesc,0,
pages.marketingIntel.marketingIntel.approvals.cfgRequire2fa,0,
pages.marketingIntel.marketingIntel.approvals.cfgRequire2faDesc,0,
pages.marketingIntel.marketingIntel.approvals.cfgSlackNotify,0,
pages.marketingIntel.marketingIntel.approvals.cfgSlackNotifyDesc,0,
pages.marketingIntel.marketingIntel.approvals.cfgEmailNotify,0,
pages.marketingIntel.marketingIntel.approvals.cfgEmailNotifyDesc,0,
pages.marketingIntel.marketingIntel.approvals.cfgExecDelay,0,
pages.marketingIntel.marketingIntel.approvals.cfgExecDelayDesc,0,
pages.marketingIntel.marketingIntel.approvals.cfgAuditLog,0,
pages.marketingIntel.marketingIntel.approvals.cfgAuditLogDesc,0,
pages.marketingIntel.marketingIntel.approvals.cfgChanged,0,
pages.marketingIntel.marketingIntel.approvals.enabled,0,
pages.marketingIntel.marketingIntel.approvals.disabled,0,
pages.marketingIntel.marketingIntel.approvals.badgePending,0,
pages.marketingIntel.marketingIntel.approvals.badgeTotal,0,
pages.marketingIntel.marketingIntel.approvals.badgeRealtime,0,
pages.marketingIntel.marketingIntel.approvals.badgeSecurity,0,
pages.marketingIntel.marketingIntel.approvals.syncInventory,0,
pages.marketingIntel.marketingIntel.approvals.syncOrders,0,
pages.marketingIntel.marketingIntel.approvals.syncBudgets,0,
pages.marketingIntel.marketingIntel.approvals.syncRules,0,
pages.marketingIntel.marketingIntel.approvals.liveSyncStatus,0,
pages.marketingIntel.marketingIntel.approvals.demoBanner,0,
pages.marketingIntel.marketingIntel.approvals.demoBannerDesc,0,
pages.marketingIntel.marketingIntel.approvals.upgradeBtn,0,
pages.marketingIntel.marketingIntel.approvals.crossTabSync,0,
pages.marketingIntel.marketingIntel.approvals.secTitle,0,
pages.marketingIntel.marketingIntel.approvals.secDesc,0,
pages.marketingIntel.marketingIntel.approvals.secCode,0,
pages.marketingIntel.marketingIntel.approvals.secUnlock,0,
pages.marketingIntel.marketingIntel.approvals.GuardDecide,0,
pages.marketingIntel.marketingIntel.approvals.GuardExecute,0,
pages.marketingIntel.marketingIntel.approvals.status,0,
pages.marketingIntel.marketingIntel.systemMonitor.pageTitle,0,
pages.marketingIntel.marketingIntel.systemMonitor.pageSub,0,
pages.marketingIntel.marketingIntel.systemMonitor.recentVisits,0,
pages.marketingIntel.marketingIntel.systemMonitor.addFavorite,0,
pages.marketingIntel.marketingIntel.systemMonitor.removeFavorite,0,
pages.marketingIntel.marketingIntel.systemMonitor.noFavorites,0,
pages.marketingIntel.marketingIntel.systemMonitor.noRecents,0,
pages.marketingIntel.marketingIntel.systemMonitor.pinned,0,
pages.marketingIntel.marketingIntel.systemMonitor.quickAccess,0,
pages.marketingIntel.marketingIntel.systemMonitor.removeFav,0,
pages.marketingIntel.marketingIntel.systemMonitor.addFav,0,
pages.marketingIntel.marketingIntel.systemMonitor.status_ok,0,
pages.marketingIntel.marketingIntel.systemMonitor.status_warning,0,
pages.marketingIntel.marketingIntel.systemMonitor.status_error,0,
pages.marketingIntel.marketingIntel.systemMonitor.tabApis,0,
pages.marketingIntel.marketingIntel.menuAccess.title,0,
pages.marketingIntel.marketingIntel.menuAccess.desc,0,
pages.marketingIntel.marketingIntel.menuAccess.save,0,
pages.marketingIntel.marketingIntel.menuAccess.saved,0,
pages.marketingIntel.marketingIntel.menuAccess.reset,0,
pages.marketingIntel.marketingIntel.menuAccess.newFeature,0,
pages.marketingIntel.marketingIntel.menuAccess.recommendTitle,0,
pages.marketingIntel.marketingIntel.menuAccess.targetObj,0,
pages.marketingIntel.marketingIntel.menuAccess.saveBtn,0,
pages.marketingIntel.marketingIntel.menuAccess.permRead,0,
pages.marketingIntel.marketingIntel.menuAccess.permCreate,0,
pages.marketingIntel.marketingIntel.menuAccess.permUpdate,0,
pages.marketingIntel.marketingIntel.aiPredict.col.nextPurchase,0,
pages.marketingIntel.marketingIntel.aiPredict.col.prob30,0,
pages.marketingIntel.marketingIntel.aiPredict.col.churn,0,
pages.marketingIntel.marketingIntel.aiPredict.col.ltv12,0,
pages.marketingIntel.marketingIntel.aiPredict.col.detail,0,
pages.marketingIntel.marketingIntel.aiPredict.filterHigh,0,
pages.marketingIntel.marketingIntel.aiPredict.filterMed,0,
pages.marketingIntel.marketingIntel.aiPredict.filterLow,0,
pages.marketingIntel.marketingIntel.aiPredict.pageSub,0,
pages.marketingIntel.marketingIntel.aiPredict.liveDB,0,
pages.marketingIntel.marketingIntel.aiPredict.Sim,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_16,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_17,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_18,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_19,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_20,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_3,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_4,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_5,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_6,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_7,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.k_8,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.target,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.churnRisk,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.churnAction,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.highLtv,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.highLtvSub,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.revenue,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.revenueSub,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.mlAccuracy,0,
pages.marketingIntel.marketingIntel.aiPredict.kpi.mlSub,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.title,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.team,0,
