key,namespace_l2,value,locale_count,locales
dash.operations.gBudget.monLimit,dash.operations,Monthly Limit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.charged,dash.operations,Charged,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.dashboard,dash.operations,Dashboard,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.journeyBuilder,dash.operations,Customer Journey Builder,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.adPerformance,dash.operations,Ad Performance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.budgetTracker,dash.operations,Budget Planner,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.accountPerformance,dash.operations,Account Performance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.channelKpi,dash.operations,Channel KPI,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.graphScore,dash.operations,Graph Score,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.crmMain,dash.operations,Customer Management,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.kakaoChannel,dash.operations,Kakao Channel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.emailMarketing,dash.operations,Email Marketing,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.smsMarketing,dash.operations,SMS/LMS Marketing,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.contentCalendar,dash.operations,Content Calendar,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiBudgetAllocator,dash.operations,AI Budget Allocator,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.reviewsUgc,dash.operations,Reviews & UGC,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.webPopup,dash.operations,Web Popup,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.omniChannel,dash.operations,Omni-Channel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.catalog,dash.operations,Catalog Sync,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.performanceHub,dash.operations,Performance Hub,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiInsights,dash.operations,AI Insights,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.dataProduct,dash.operations,Data Product,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiRuleEngine,dash.operations,AI Rule Engine,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.alertAutomation,dash.operations,Alert Automation,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiPolicy,dash.operations,AI Policy,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.approvals,dash.operations,Approvals,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.writeback,dash.operations,Writeback,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.onboarding,dash.operations,Onboarding Guide,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.dataSchema,dash.operations,Data Schema,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.apiKeys,dash.operations,Api Keys,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.pixelTracking,dash.operations,Pixel Tracking,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.dataTrust,dash.operations,Data Trust,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.mappingRegistry,dash.operations,Mapping Registry,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.settlements,dash.operations,Settlements,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.reconciliation,dash.operations,Reconciliation,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.pricing,dash.operations,Pricing,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.auditLog,dash.operations,Audit Log,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.workspace,dash.operations,Workspace,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.operations,dash.operations,Operations,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.help,dash.operations,Help Center,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.feedback,dash.operations,Feedback,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.developerHub,dash.operations,Developer Hub,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.platformEnv,dash.operations,Platform Settings,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.userMgmt,dash.operations,User Management,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.menuRule,dash.operations,Menu Access Rule,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.dbSchema,dash.operations,DB Schema,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.paymentPg,dash.operations,Payment (PG),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.serverMonitor,dash.operations,Server Monitor,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiMarketingHub,dash.operations,AI Communication,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiPrediction,dash.operations,Ai Prediction,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiRecommend,dash.operations,AI Instant Recommendations,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.budgetPlanner,dash.operations,Budget Planner,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.marketingIntel,dash.operations,Marketing Intelligence,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.digitalShelf,dash.operations,Digital Shelf,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.amazonRisk,dash.operations,Amazon Risk,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.whatsapp,dash.operations,WhatsApp,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.instagramDm,dash.operations,Instagram/Facebook DM,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.lineChannel,dash.operations,Line Channel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.krChannel,dash.operations,KR Channel Settlement,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.demandForecast,dash.operations,AI Demand Forecast & Auto PO,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.asiaLogistics,dash.operations,Asia Logistics Hub,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.supplierPortal,dash.operations,Supplier Portal (B2B),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.myCoupons,dash.operations,My Coupons,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.alertPolicies,dash.operations,Alert Policies,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.actionPresets,dash.operations,Action Presets,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.connectors,dash.operations,Master Connectors,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.eventNorm,dash.operations,Event Schema,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.adminCenter,dash.operations,Governance System,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.adminSettings,dash.operations,Admin Settings,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.dbAdmin,dash.operations,Db Admin,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.pgConfig,dash.operations,Pg Config,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.danger,dash.operations,Critical,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.caution,dash.operations,Caution,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.menuAccessManager,dash.operations,Menu Access Manager,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conTitle,dash.operations,Data Integration Hub,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conKpiOauth,dash.operations,OAuth Auth,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conKpiApi,dash.operations,API Key Auth,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conFltAll,dash.operations,All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conFltDis,dash.operations,Not Connected,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conFltOauth,dash.operations,OAuth,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conFltApi,dash.operations,Con Flt Api,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conActConn,dash.operations,Account Integration,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conActWh,dash.operations,Webhook Settings,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conPermSel,dash.operations,Select Permission Scope,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conOauthStart,dash.operations,Start OAuth Integration,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conApiDocs,dash.operations,API Docs,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conApiKeyStr,dash.operations,API Key (Required),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conApiSecretStr,dash.operations,Secret Key,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbTrend,dash.operations,ROAS Trend (Line),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbClicks,dash.operations,Daily Clicks (Bar),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbSpend,dash.operations,Ad Spend (Area),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.kpiRoas,dash.operations,ROAS,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbClear,dash.operations,Clear Canvas,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaRoasAlert,dash.operations,Aa Roas Alert,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaStock,dash.operations,Low Stock,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaCvr,dash.operations,Aa Cvr,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
