key,l3_namespace,value,locale_count,locales
crm.contentCal.reviews.sms.tplName,crm.contentCal.reviews,Template Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplNamePh,crm.contentCal.reviews,Enter name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCategory,crm.contentCal.reviews,Category,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplBody,crm.contentCal.reviews,Message Body,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplBodyPh,crm.contentCal.reviews,Enter message body...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplVars,crm.contentCal.reviews,Variables (comma-separated),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.cancel,crm.contentCal.reviews,Cancel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.save,crm.contentCal.reviews,Save,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.loading,crm.contentCal.reviews,Loading...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplEmpty,crm.contentCal.reviews,No templates registered yet.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.edit,crm.contentCal.reviews,Edit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.delete,crm.contentCal.reviews,Delete,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campAll,crm.contentCal.reviews,All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campNew,crm.contentCal.reviews,New Campaign,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campCreate,crm.contentCal.reviews,Create Campaign,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campName,crm.contentCal.reviews,Campaign Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campNamePh,crm.contentCal.reviews,Enter campaign name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campTemplate,crm.contentCal.reviews,Template,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campSelectTpl,crm.contentCal.reviews,-- Select Template --,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campSegment,crm.contentCal.reviews,Target Segment,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campSegmentPh,crm.contentCal.reviews,Segment ID or All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campSchedule,crm.contentCal.reviews,Schedule Time,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campMessage,crm.contentCal.reviews,Message Content,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campMsgPh,crm.contentCal.reviews,Campaign message...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campCreateBtn,crm.contentCal.reviews,Create Campaign,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campEmpty,crm.contentCal.reviews,No campaigns yet.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campScheduleBtn,crm.contentCal.reviews,Schedule,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campSendNow,crm.contentCal.reviews,Send Now,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campPause,crm.contentCal.reviews,Pause,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campResume,crm.contentCal.reviews,Resume,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabCompose,crm.contentCal.reviews,Compose,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabBroadcast,crm.contentCal.reviews,Broadcast,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabTemplates,crm.contentCal.reviews,Templates,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabCampaigns,crm.contentCal.reviews,Campaigns,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabHistory,crm.contentCal.reviews,History,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabStats,crm.contentCal.reviews,Stats,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabSettings,crm.contentCal.reviews,Settings,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.proMode,crm.contentCal.reviews,Pro Mode,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.demoMode,crm.contentCal.reviews,Demo Mode,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.sent,crm.contentCal.reviews,Sent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.ihubLinked,crm.contentCal.reviews,channels linked,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.kpiSent,crm.contentCal.reviews,Sent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.kpiSuccess,crm.contentCal.reviews,Success,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.kpiFailed,crm.contentCal.reviews,Failed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.ihubAutoDetect,crm.contentCal.reviews,Integration Hub Auto-Detect,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.historyTitle,crm.contentCal.reviews,Send History,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.noHistory,crm.contentCal.reviews,No send history yet.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.content,crm.contentCal.reviews,Content,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.status,crm.contentCal.reviews,Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.sendTime,crm.contentCal.reviews,Send Time,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.statsSentThisMonth,crm.contentCal.reviews,Sent This Month,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.statsSuccessRate,crm.contentCal.reviews,Success Rate,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.statsBalance,crm.contentCal.reviews,Remaining Points,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.pageTitle,crm.contentCal.reviews,SMS Marketing,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabList,crm.contentCal.reviews,Send History,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabNew,crm.contentCal.reviews,New Message,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tabTemplate,crm.contentCal.reviews,Templates,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.filterAll,crm.contentCal.reviews,All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.statusSent,crm.contentCal.reviews,Sent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.statusPending,crm.contentCal.reviews,Pending,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.statusFailed,crm.contentCal.reviews,Failed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.colRecipient,crm.contentCal.reviews,Recipient,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.colMessage,crm.contentCal.reviews,Message,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.colStatus,crm.contentCal.reviews,Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.colDate,crm.contentCal.reviews,Date,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.emptyList,crm.contentCal.reviews,No send history.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.newTitle,crm.contentCal.reviews,New SMS Message,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.recipientLabel,crm.contentCal.reviews,Recipient,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.messageLabel,crm.contentCal.reviews,Message Content,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.sendBtn,crm.contentCal.reviews,Send,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.dismiss,crm.contentCal.reviews,OK,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCat_promotion,crm.contentCal.reviews,Promotion,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCat_notification,crm.contentCal.reviews,Notification,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCat_authentication,crm.contentCal.reviews,Authentication,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCat_transaction,crm.contentCal.reviews,Transaction,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campStatus_draft,crm.contentCal.reviews,Draft,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campStatus_scheduled,crm.contentCal.reviews,Scheduled,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campStatus_sent,crm.contentCal.reviews,Sent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campStatus_paused,crm.contentCal.reviews,Paused,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.campStatus_failed,crm.contentCal.reviews,Failed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.linkOpen,crm.contentCal.webPopup,Open Link,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.linkEnabled,crm.contentCal.webPopup,Shortcut URL,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.linkUrl,crm.contentCal.webPopup,Shortcut URL,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.linkUrlPh,crm.contentCal.webPopup,https://example.com/promo,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.tabAB,crm.contentCal.webPopup,A/B Test,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.aiThemeFlash,crm.contentCal.webPopup,Flash Sale,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.platformPopup,crm.contentCal.webPopup,Web Popup,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.badgeExit,crm.contentCal.webPopup,Exit-Intent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.badgeLive,crm.contentCal.webPopup,Live Preview,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
